CASE# 1:
8827 not found
8806 not found
8936 not found
908 not found
3899 not found
515 not found
7406 not found
7407 not found
5221 not found
7476 not found
5216 not found
7266 not found
7474 not found
765 found at 52
4011 not found
2993 not found
7908 not found
4204 not found
2814 not found
8333 not found
3908 not found
6716 not found
7738 not found
285 not found
8546 not found
506 not found
8410 not found
2244 not found
3478 not found
4766 not found
1613 not found
2226 not found
6877 not found
7773 not found
135 not found
1021 not found
8812 not found
5110 not found
6971 not found
1081 not found
1265 not found
7814 not found
9398 not found
8957 found at 582
9317 not found
938 not found
3444 not found
7939 not found
1516 not found
7310 not found
2201 not found
9284 not found
1248 not found
2715 not found
1543 not found
32 not found
3542 not found
9993 found at 652
3346 not found
301 not found
1297 not found
189 not found
6442 not found
2647 not found
4943 not found
1398 not found
8860 not found
3182 not found
9004 not found
8344 not found
9809 not found
5589 not found
9889 not found
2461 not found
6068 not found
9485 not found
5713 not found
5049 not found
2422 not found
5910 not found
7172 found at 444
2523 not found
3590 not found
296 not found
4941 not found
8166 not found
8096 not found
9516 not found
6672 not found
1655 not found
8262 found at 527
2474 not found
464 not found
7827 not found
4052 not found
5050 not found
2471 not found
2107 not found
5525 not found
7200 not found
3928 not found
1050 not found
5696 not found
5243 not found
7543 not found
3699 not found
3740 not found
7170 not found
6642 found at 417
7205 not found
7998 not found
6816 not found
9824 found at 640
3708 not found
4258 not found
368 not found
8698 not found
6802 found at 425
5524 not found
5571 not found
5057 not found
637 not found
3949 not found
7424 not found
2992 found at 195
8308 not found
2289 not found
6730 found at 423
7032 not found
6860 not found
4458 not found
7291 not found
7310 not found
9314 not found
9192 not found
8860 not found
3559 not found
8142 not found
9139 not found
3676 not found
8200 not found
6107 not found
3717 not found
1382 found at 99
1807 not found
7040 not found
9701 not found
7197 not found
2079 not found
5906 not found
6161 not found
9734 not found
5116 not found
8603 not found
2748 not found
3365 not found
8283 not found
7630 not found
3181 not found
2119 not found
903 not found
7010 not found
3379 not found
3128 not found
2930 found at 190
3560 not found
7572 not found
8333 not found
9517 not found
3539 not found
4796 not found
268 not found
4580 not found
8616 not found
7607 not found
4802 not found
4499 found at 288
7083 not found
5002 not found
825 not found
319 not found
1885 found at 126
6252 not found
9 not found
7023 not found
7397 not found
828 not found
4076 not found
6689 not found
55 not found
3374 not found
1597 not found
5292 not found
4763 not found
784 not found
3772 not found
220 not found
7422 not found
9343 not found
5455 not found
6631 not found
4051 not found
7579 not found
4665 not found
9449 not found
8795 found at 570
3203 not found
8674 not found
3749 found at 241
7997 not found
9663 not found
4387 not found
9431 not found
5449 not found
1899 not found
5192 not found
4172 not found
1251 not found
2332 not found
8917 not found
9074 not found
9012 not found
5458 not found
120 found at 3
8197 found at 522
6112 not found
2848 not found
5593 not found
6236 not found
6380 not found
1082 not found
3701 not found
599 not found
2518 not found
8695 not found
6888 not found
9745 not found
2556 not found
8763 not found
9512 not found
7707 not found
7261 not found
4823 not found
1879 not found
8174 not found
9528 not found
7259 not found
9966 not found
7872 not found
9216 not found
5818 not found
9733 not found
2468 found at 167
2603 not found
8546 not found
CASE# 2:
1524 not found
4722 not found
7424 not found
4163 not found
7772 not found
9921 not found
8595 not found
9159 not found
1297 not found
1031 not found
740 found at 52
9614 not found
8999 not found
5625 not found
2107 not found
8119 not found
3964 not found
1822 not found
3171 not found
3668 not found
5194 not found
8985 not found
2519 not found
